time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,breakdown_topic,breakdown,child_count,child_percent,rate_per_100
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,2 to 4 weeks,170,21,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,4 to 8 weeks,120,15,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,8 to 12 weeks,130,16,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,12 to 26 weeks,110,14,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,26 to 52 weeks,60,8,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,Over 52 weeks,80,9,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Duration,Unknown,10,2,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Moved in from another local authority,40,5,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Moved in from another country,20,2,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,School application awaiting outcome,210,27,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Offered school place but not yet accepted,20,3,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Waiting school start,90,11,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Did not get school preference,50,6,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Unsuitable elective home education,140,18,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Difficulty accessing suitable school place,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,School dissatisfaction general,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,School dissatisfaction SEND,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Mental health,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Physical health,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Parental decision not to register at school,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Did not apply for school place at compulsory school age,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Challenging school attendance order,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Believed to have moved to another local authority,120,14,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Believed to have moved to another country,80,9,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Unknown,20,3,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Not recorded,0,0,x
202526,Autumn term,Regional,E92000001,England,E12000001,North East,,,,Reason,Other,10,1,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Total,Total,4110,100,0.4000000
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Sex,Female,1850,45,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Sex,Male,2200,54,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Sex,Unknown,70,2,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Reception,130,3,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 1,360,9,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 2,280,7,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 3,240,6,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 4,240,6,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 5,270,7,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 6,290,7,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 7,360,9,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 8,410,10,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 9,450,11,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 10,530,13,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Year 11,530,13,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Year group,Unknown,10,low,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Duration,Less than 2 weeks,670,16,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Duration,2 to 4 weeks,720,17,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Duration,4 to 8 weeks,560,14,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Duration,8 to 12 weeks,350,8,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Duration,12 to 26 weeks,750,18,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Duration,26 to 52 weeks,570,14,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Duration,Over 52 weeks,480,12,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Duration,Unknown,20,low,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Moved in from another local authority,540,13,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Moved in from another country,130,3,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,School application awaiting outcome,360,9,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Offered school place but not yet accepted,70,2,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Waiting school start,290,7,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Did not get school preference,160,4,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Unsuitable elective home education,350,9,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Difficulty accessing suitable school place,90,2,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,School dissatisfaction general,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,School dissatisfaction SEND,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Mental health,10,low,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Physical health,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Parental decision not to register at school,50,1,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Did not apply for school place at compulsory school age,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Challenging school attendance order,50,1,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Believed to have moved to another local authority,550,13,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Believed to have moved to another country,600,15,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Unknown,250,6,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Not recorded,80,2,x
202526,Autumn term,Regional,E92000001,England,E12000002,North West,,,,Reason,Other,530,13,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,Total,4430,100,0.5000000
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Sex,Female,2010,45,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Sex,Male,2400,54,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Sex,Unknown,20,low,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Reception,110,2,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 1,380,9,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 2,310,7,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 3,290,7,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 4,330,7,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 5,300,7,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 6,250,6,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 7,450,10,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 8,430,10,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 9,500,11,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 10,500,11,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Year 11,560,13,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Year group,Unknown,20,low,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration,Less than 2 weeks,680,15,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration,2 to 4 weeks,800,18,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration,4 to 8 weeks,660,15,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration,8 to 12 weeks,450,10,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration,12 to 26 weeks,660,15,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration,26 to 52 weeks,430,10,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration,Over 52 weeks,310,7,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration,Unknown,440,10,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Moved in from another local authority,180,4,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Moved in from another country,80,2,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,School application awaiting outcome,1050,24,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Offered school place but not yet accepted,60,1,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Waiting school start,410,9,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Did not get school preference,130,3,x
202526,Autumn term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Reason,Unsuitable elective home education,380,8,x
